Distrito,Cidade/Localidade,Local,Horário de recolha,Data limite para recolha,Artigos a doar,Contacto mais info (opcional),Entidade que organiza (opcional),Link para o anúncio (se houver),Outras notas,Cordenadas ou morada
Lisboa,Alamada/Seixal,Contactar - Carolina Melaças,,,,926265228,,,,
Lisboa,Benfica/Telheiras,Contactar - Carolina Melaças,,,,926265228,,,,
Lisboa,Sintra,Contactar - Carolina Melaças,,,,926265228,,,,
Lisboa,Odivelas,Contactar - Carolina Melaças,,,,926265228,,,,
Viana do Castelo ,Viana do Castelo,Escola de Saúde,,,,916473276,,,,
Santarém,Santarém ,Escola de Saúde,,,, 243 307 200,,,,
Porto,Amarante- Gondar,JF de Gondar,,,, 255 441 055,,,,"R. Miguel Bombarda 29, 4600-089"
Porto,Amarante ,Estética Girassol,,,,,,,,R. Nova 57
Porto,Amarante,Padaria Pardal,,,,255 423 019,,,,"R. 5 de Outubro 43, 4600-044 Amarante"
Porto,Amarante,TMG,,,, 912 228 441,,,,"Unnamed Road, 4600-758 Amarante"
Braga,Braga,Adolescere,,,, 253 098 180,,,,"Centro Comercial Stª Cruz, Largo Carlos Amarante 130 5.º andar, sl, 4700-308 Braga"
Braga,Barcelos,Farmácia do Cruzeiro,,,,253 832 966,,,,"A. da Igreja, 174. Carvalhal"
Braga,Gualtar,Paróquia de Gualtar,Após o horário da missa,,,,,,,"Centro Paroquial Dona Amália Costa Lima, R. da Nova Escola, 4710-093 Braga"
Braga,Gualtar,"Espaços Recurso Uminho I AAUM
Universidade do Minho - Campus of Gualtar",,,,,,,,
Porto,Trofa,Câmara Municipal Da Trofa,Das 9h da manhã ás 16:30h excepto Fins de semana ,,,252 409 290,,,," R. das Indústrias, 4785-624 Trofa"
,,,,,Produtos e alimentação infantis e alimentação enlatada.,,,,,
